pdate,video_id,channelId,title,channelTitle,candidate
2017-01-03,IL30Wr6cdfc,UCx2eRsOVWYmM-StX_lu7axQ,안희정은 왜 반기문에게 정치에 기웃거리지 말라고 했는가? 기회주의자들은 정치를 해서는 안된다.,Veritas Speak X 단박에 한국사,반기문
2017-01-11,81GLbXmSotU,UCn-4MP_024Y29Ea7PKiVCmg,[핵사이다] 반기문은 정의로운 행동을 본적이 없다  -유시민-,시민의 justice,반기문
2017-01-18,6QiCx__RJaU,UCr0LBUePUC5XnejgV4JmboA,[뉴스투데이]팽목항 찾은 반기문 '질문을 피하다',광주MBC뉴스,반기문
2017-01-18,MCi3K-AsbKs,UCGrraKQiTF-ml0KqPQ8mrUA,"반기문 ""위안부 관련 역사적 과오 저지르지 않았다. 앞으로 위안부 질문 받지 않겠다""",매일신문,반기문
2017-01-24,P2gRF68s1p4,UCsU-I-vHLiaMfV_ceaYz5rQ,반기문 영입 물건너가자…'황교안 띄우기' 나선 새누리?,JTBC News,반기문
2016-10-20,LvqZnjO7Ksw,UCs18sMwqTCMBmTqX0b2-w6A,반기문은 우둔한 최악의 사무총장 - 이코노미스트,유재일,반기문
2017-01-21,m7UdfU9dHAI,UCOhdGEBWL5lK3zyRhLBde-Q,반기문 '주춤'…안철수 기지개 펴나? - [뉴스특보],TV팟,반기문
2017-01-20,C7FOGK_G0qM,UC16rqdr70gTTiRP4buiDwqw,"김어준의 파파이스, 반기문의 패착, 거의 망했다고 본다 ,정두언 전의원",cinepot TV,반기문
2017-01-13,u_c5w6-E7Eo,UChlgI3UHCOnwUGzWzbJ3H5w,"문재인 지지율 30% 넘어...반기문, 대선 행보 본격화 / YTN (Yes! Top News)",YTN NEWS,반기문
2017-01-23,rwEOix84c_g,UCs18sMwqTCMBmTqX0b2-w6A,"니들이 난리를 쳐도 지지율은 오른다. 문재인 상승, 반기문 하락 - 리얼미터.",유재일,반기문
