지역,문재인,손학규,안철수,안희정,유승민,이재명,황교안,무응답
전체,33.2,3.1,9.1,15.7,3.5,8.2,15.9,5.7
서울,35.0,4.1,11.7,13.0,3.5,6.3,16.4,2.2
경기/인천,32.8,2.3,8.6,16.8,3.6,11.0,12.8,6.1
대전/충청/세종,30.0,2.6,4.4,24.0,2.4,6.8,15.9,9.2
강원,35.8,1.9,8.6,16.5,0.0,2.1,23.3,6.2
부산/경남/울산,36.3,4.1,5.6,10.7,3.9,5.7,20.9,5.8
대구/경북,28.8,2.6,4.2,15.1,5.5,6.2,25.5,11.5
광주/전라,33.5,2.4,20.8,18.2,0.8,12.3,4.2,4.1
제주,31.3,7.2,7.1,11.5,15.3,9.1,16.4,0.0
