fdate,person,survey
2016-02-26,이재명,NA
2016-03-04,이재명,3.9
2016-03-11,이재명,3.9
2016-03-18,이재명,4.2
2016-03-25,이재명,4.7
2016-04-01,이재명,4.0
2016-04-08,이재명,2.5
2016-04-15,이재명,3.4
2016-04-22,이재명,2.4
2016-04-29,이재명,2.8
2016-05-06,이재명,3.1
2016-05-13,이재명,3.0
2016-05-20,이재명,3.3
2016-05-27,이재명,4.0
2016-06-03,이재명,3.5
2016-06-10,이재명,4.4
2016-06-17,이재명,3.7
2016-06-24,이재명,3.8
2016-07-01,이재명,3.2
2016-07-08,이재명,2.9
2016-07-15,이재명,3.4
2016-07-22,이재명,3.9
2016-07-29,이재명,3.9
2016-08-05,이재명,3.6
2016-08-12,이재명,3.9
2016-08-19,이재명,3.9
2016-08-26,이재명,3.6
2016-09-02,이재명,3.7
2016-09-09,이재명,5.1
2016-09-16,이재명,5.1
2016-09-23,이재명,3.8
2016-09-30,이재명,5.1
2016-10-07,이재명,4.6
2016-10-14,이재명,5.3
2016-10-21,이재명,5.9
2016-10-28,이재명,9.1
2016-11-04,이재명,9.0
2016-11-11,이재명,10.0
2016-11-18,이재명,11.9
2016-11-25,이재명,14.7
2016-12-02,이재명,16.2
2016-12-09,이재명,14.9
2016-12-16,이재명,12.3
2016-12-23,이재명,11.2
2017-01-01,이재명,12.0
2017-01-08,이재명,11.7
2017-01-15,이재명,10.1
2017-01-22,이재명,9.6
2017-01-29,이재명,8.6
2017-02-05,이재명,7.8
2017-02-12,이재명,8.1
2017-02-19,이재명,10.1
2016-01-01,황교안,0.0
2016-01-08,황교안,0.0
2016-01-15,황교안,0.0
2016-01-22,황교안,0.0
2016-01-29,황교안,0.0
2016-02-05,황교안,0.0
2016-02-12,황교안,0.0
2016-02-19,황교안,0.0
2016-02-26,황교안,0.0
2016-03-04,황교안,0.0
2016-03-11,황교안,0.0
2016-03-18,황교안,0.0
2016-03-25,황교안,0.0
2016-04-01,황교안,0.0
2016-04-08,황교안,0.0
2016-04-15,황교안,0.0
2016-04-22,황교안,0.0
2016-04-29,황교안,0.0
2016-05-06,황교안,0.0
2016-05-13,황교안,0.0
2016-05-20,황교안,0.0
2016-05-27,황교안,0.0
2016-06-03,황교안,0.0
2016-06-10,황교안,0.0
2016-06-17,황교안,0.0
2016-06-24,황교안,0.0
2016-07-01,황교안,0.0
2016-07-08,황교안,0.0
2016-07-15,황교안,0.0
2016-07-22,황교안,0.0
2016-07-29,황교안,0.0
2016-08-05,황교안,0.0
2016-08-12,황교안,0.0
2016-08-19,황교안,0.0
2016-08-26,황교안,0.0
2016-09-02,황교안,0.0
2016-09-09,황교안,0.0
2016-09-16,황교안,0.0
2016-09-23,황교안,0.0
2016-09-30,황교안,0.0
2016-10-07,황교안,0.0
2016-10-14,황교안,0.0
2016-10-21,황교안,0.0
2016-10-28,황교안,0.0
2016-11-04,황교안,0.0
2016-11-11,황교안,0.0
2016-11-18,황교안,0.0
2016-11-25,황교안,0.0
2016-12-02,황교안,0.0
2016-12-09,황교안,0.0
2016-12-16,황교안,0.0
2016-12-23,황교안,0.0
2017-01-01,황교안,NA
2017-01-08,황교안,NA
2017-01-15,황교안,4.6
2017-01-22,황교안,6.6
2017-01-29,황교안,12.4
2017-02-05,황교안,15.3
2017-02-12,황교안,14.8
2017-02-19,황교안,11.6
2016-01-01,안희정,3.3
2016-01-08,안희정,2.6
2016-01-15,안희정,2.9
2016-01-22,안희정,3.2
2016-01-29,안희정,2.4
2016-02-05,안희정,3.0
2016-02-12,안희정,2.8
2016-02-19,안희정,4.1
2016-02-26,안희정,4.1
2016-03-04,안희정,2.4
2016-03-11,안희정,2.1
2016-03-18,안희정,2.0
2016-03-25,안희정,2.7
2016-04-01,안희정,2.6
2016-04-08,안희정,2.6
2016-04-15,안희정,2.6
2016-04-22,안희정,2.0
2016-04-29,안희정,2.6
2016-05-06,안희정,2.8
2016-05-13,안희정,3.2
2016-05-20,안희정,4.0
2016-05-27,안희정,4.2
2016-06-03,안희정,2.9
2016-06-10,안희정,3.1
2016-06-17,안희정,3.5
2016-06-24,안희정,3.8
2016-07-01,안희정,3.4
2016-07-08,안희정,3.2
2016-07-15,안희정,NA
2016-07-22,안희정,NA
2016-07-29,안희정,NA
2016-08-05,안희정,NA
2016-08-12,안희정,NA
2016-08-19,안희정,NA
2016-08-26,안희정,NA
2016-09-02,안희정,3.2
2016-09-09,안희정,3.1
2016-09-16,안희정,3.6
2016-09-23,안희정,4.8
2016-09-30,안희정,4.4
2016-10-07,안희정,3.9
2016-10-14,안희정,3.8
2016-10-21,안희정,4.2
2016-10-28,안희정,4.3
2016-11-04,안희정,3.7
2016-11-11,안희정,3.6
2016-11-18,안희정,3.9
2016-11-25,안희정,4.1
2016-12-02,안희정,3.6
2016-12-09,안희정,4.3
2016-12-16,안희정,4.9
2016-12-23,안희정,4.2
2017-01-01,안희정,5.0
2017-01-08,안희정,4.9
2017-01-15,안희정,4.7
2017-01-22,안희정,6.8
2017-01-29,안희정,13.0
2017-02-05,안희정,16.7
2017-02-12,안희정,20.4
2017-02-19,안희정,19.2
