id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,vid_id
zpQmEq8nbRg,3241,39,4,0,9,zpQmEq8nbRg
xtTDbca06f0,39241,37,43,0,28,xtTDbca06f0
m7UdfU9dHAI,677,0,3,0,0,m7UdfU9dHAI
XAHyK1hx4Nk,2245,51,4,0,2,XAHyK1hx4Nk
PUGKa8U8DNA,33317,355,23,0,74,PUGKa8U8DNA
9ct9tUtSK48,494,0,0,0,4,9ct9tUtSK48
ciDjdkBmEOM,1960,22,3,0,14,ciDjdkBmEOM
oLMm8wHf77M,154,8,0,0,0,oLMm8wHf77M
ZG6gJmuMUL4,954,9,2,0,9,ZG6gJmuMUL4
M1lb4HqrUI4,29,0,0,0,0,M1lb4HqrUI4
QmOFVLtPhB0,165,1,0,0,0,QmOFVLtPhB0
s_YPvGNfg6c,1869,11,9,0,8,s_YPvGNfg6c
9uUyhA06X0o,185,2,1,0,0,9uUyhA06X0o
SOvBjYrdAWs,19663,250,13,0,102,SOvBjYrdAWs
geE8VkMNJSQ,7265,81,12,0,45,geE8VkMNJSQ
0TG3JxAr84c,95,1,0,0,0,0TG3JxAr84c
58tHz-VhgEU,631,3,0,0,4,58tHz-VhgEU
ZLg4s-U3j2g,415,1,1,0,0,ZLg4s-U3j2g
ioavRoQ6lWw,9470,106,16,0,9,ioavRoQ6lWw
rOUlGhZT5yE,2108,NA,NA,0,7,rOUlGhZT5yE
QN42LYTtUbg,306,4,0,0,0,QN42LYTtUbg
fzazQPtiatg,2766,30,1,0,19,fzazQPtiatg
bcj5516zZGU,1709,29,1,0,8,bcj5516zZGU
nyQtGPfVeGs,990,30,1,0,8,nyQtGPfVeGs
cMhNA27SBcE,8476,28,10,0,5,cMhNA27SBcE
ORxYnQKTp9c,390,0,0,0,2,ORxYnQKTp9c
_fQvLEuIRzE,212,NA,NA,0,NA,_fQvLEuIRzE
MuWOUbermHM,468,4,1,0,0,MuWOUbermHM
_a1khwFN0Lk,24483,177,22,0,NA,_a1khwFN0Lk
Kri6IuqLa4o,754,8,1,0,9,Kri6IuqLa4o
c3P5vTfVqOg,6091,NA,NA,0,20,c3P5vTfVqOg
A6V9VgSbi_8,49,1,0,0,1,A6V9VgSbi_8
M1JdQjl9TrI,63,2,0,0,0,M1JdQjl9TrI
hMJoExrXY14,8721,144,7,0,66,hMJoExrXY14
_RnES-YSjco,115,2,0,0,0,_RnES-YSjco
FGSzC2fz7uU,841,27,0,0,0,FGSzC2fz7uU
tCFpQPLdNM0,330,24,0,0,3,tCFpQPLdNM0
jHnm1-83nyQ,562,4,1,0,0,jHnm1-83nyQ
7nz1wO6nzcU,664,12,1,0,0,7nz1wO6nzcU
6QAH3nYtOe4,245,1,0,0,0,6QAH3nYtOe4
4gf4hsi2rSk,453,4,4,0,0,4gf4hsi2rSk
aib8bxs1CEc,3519,81,5,0,19,aib8bxs1CEc
WTpV-89hHjk,174,0,2,0,0,WTpV-89hHjk
wkvSJ_w6h0I,29,0,0,0,0,wkvSJ_w6h0I
W4vBX1Yi8tM,635,NA,NA,0,7,W4vBX1Yi8tM
Q6cASX81mUo,9638,18,12,0,NA,Q6cASX81mUo
pFh3tfwc3Vc,130,22,0,0,0,pFh3tfwc3Vc
GKyHCQ6outw,640,1,3,0,0,GKyHCQ6outw
jgseM-Z9CvU,1399,2,1,0,5,jgseM-Z9CvU
fwlgl3OVxUs,11042,42,6,0,28,fwlgl3OVxUs
5WkBwKKG8yA,69,0,0,0,0,5WkBwKKG8yA
gt20z5HpJ9U,424,28,7,0,0,gt20z5HpJ9U
96zHgTPHHyM,856,0,3,0,2,96zHgTPHHyM
-8X64psZyLA,3840,48,4,0,10,-8X64psZyLA
UXtH5L5zilE,650,4,3,0,3,UXtH5L5zilE
cRE-dPoDIGU,309,4,1,0,0,cRE-dPoDIGU
oBjZm3tgSmQ,56,1,0,0,0,oBjZm3tgSmQ
dV1HTWlpyw0,40,0,0,0,0,dV1HTWlpyw0
jlQli2N8O10,111752,1767,61,0,NA,jlQli2N8O10
YcO8T2hKfUk,273,13,1,0,1,YcO8T2hKfUk
p-wqlQxCpmc,19,1,0,0,0,p-wqlQxCpmc
332xoPqOFkc,9,0,0,0,1,332xoPqOFkc
jOr7UE4yolw,67,0,0,0,0,jOr7UE4yolw
7YSRY9m_dJM,16,0,0,0,0,7YSRY9m_dJM
Fvi1Qsioak0,25,0,0,0,0,Fvi1Qsioak0
4TLXti350AE,88,2,0,0,0,4TLXti350AE
Z16VWd5Fc0U,51,2,0,0,0,Z16VWd5Fc0U
0deaBiad4Lk,2,0,0,0,0,0deaBiad4Lk
HM0xnCHRkqE,1,0,0,0,0,HM0xnCHRkqE
oyoAbEoUZKo,0,0,0,0,0,oyoAbEoUZKo
YrvTuoZjZNE,0,0,0,0,0,YrvTuoZjZNE
aeTTmys9eQw,0,0,0,0,0,aeTTmys9eQw
fd8wmhwXdtY,1,0,0,0,0,fd8wmhwXdtY
wr2WntphQQk,12,0,0,0,0,wr2WntphQQk
Za8UauQBlSQ,35,0,0,0,0,Za8UauQBlSQ
12pvXQdfJ8s,40,1,1,0,0,12pvXQdfJ8s
6xlgF403mdA,2,0,0,0,0,6xlgF403mdA
LUH6qAYwT18,5,0,0,0,0,LUH6qAYwT18
Nz86zGkvuc0,11,0,1,0,0,Nz86zGkvuc0
JPQFewqg6fw,10,0,0,0,0,JPQFewqg6fw
KFRiR4al8H8,15,1,0,0,0,KFRiR4al8H8
cR2PGLqAkJ8,4,0,0,0,0,cR2PGLqAkJ8
gE3udFJGB-0,145,0,0,0,1,gE3udFJGB-0
1so7MrDqPDI,106,1,0,0,0,1so7MrDqPDI
wT_3fg0G_sk,29,0,0,0,0,wT_3fg0G_sk
RA56ORfNDV8,22,0,0,0,0,RA56ORfNDV8
ECLH_BV44bo,2,0,0,0,0,ECLH_BV44bo
lcdDQk_aloE,37,1,0,0,0,lcdDQk_aloE
wwpJzb1zO9w,0,0,0,0,0,wwpJzb1zO9w
heJhATaQUfo,3,0,0,0,0,heJhATaQUfo
KPY68ght-fg,0,0,0,0,0,KPY68ght-fg
Ql9hwvK9Ny8,3,0,0,0,0,Ql9hwvK9Ny8
FP9VDvqVHdo,8,0,0,0,0,FP9VDvqVHdo
b9dapem2EmQ,3,0,0,0,0,b9dapem2EmQ
myhTLb37zBQ,187,4,0,0,0,myhTLb37zBQ
dIVprHbaiss,373,6,1,0,1,dIVprHbaiss
t0ra7QnVLCA,171916,1274,72,0,533,t0ra7QnVLCA
zYWC3uNXgiY,15900,257,9,0,82,zYWC3uNXgiY
WgK7grANGJ4,2377,27,4,0,12,WgK7grANGJ4
QTowwrKK9oo,1326,4,4,0,5,QTowwrKK9oo
jJ145MX12W0,2533,13,1,0,NA,jJ145MX12W0
dMCYLNSatTs,2028,14,9,0,2,dMCYLNSatTs
SiPT87i_dR8,5648,27,20,0,2,SiPT87i_dR8
dYl2WyqIiLI,14491,639,9,0,146,dYl2WyqIiLI
5lyDy_KPhsE,10910,409,5,0,45,5lyDy_KPhsE
4VW89ZEYEoY,9975,96,7,0,7,4VW89ZEYEoY
uoDd7rnK5BA,844,5,1,0,6,uoDd7rnK5BA
GpqXfd8MZ0U,100,0,0,0,0,GpqXfd8MZ0U
g8YBE6rDLms,60,0,0,0,0,g8YBE6rDLms
HiTLKmtZY30,170,0,2,0,1,HiTLKmtZY30
DVG6vRaXzak,2387,6,4,0,16,DVG6vRaXzak
