지역,문재인,손학규,안철수,안희정,유승민,이재명,황교안,무응답
전체,28.4,2.1,8.5,6.8,2.4,9.6,6.6,15.399999999999999
서울,30.9,1.7,9.5,7.5,2.7,8.1,8.2,14.3
경기/인천,27.9,2.3,7.6,6.1,2.1,12.3,5.6,15.6
대전/충청/세종,25.9,2.7,6.5,15.8,1.8,6.3,5.5,14.0
강원,20.1,0.9,4.1,5.6,0.0,7.6,20.4,19.8
부산/경남/울산,28.3,1.5,8.0,4.0,1.6,11.5,4.4,15.299999999999999
대구/경북,20.5,2.2,4.7,4.3,5.4,6.3,10.6,16.799999999999997
광주/전라,37.4,3.1,18.5,5.8,2.2,9.1,2.9,14.6
제주,33.1,0.0,0.0,0.0,0.0,11.5,5.2,16.5
