"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1449,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1421,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1420,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1430,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1427,,
"BEL","Belgium","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1595,,
"BEL","Belgium","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1588,,
"BEL","Belgium","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1583,,
"BEL","Belgium","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1573,,
"BEL","Belgium","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1565,,
"BEL","Belgium","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1572,,
"BEL","Belgium","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1577,,
"BEL","Belgium","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1570,,
"BEL","Belgium","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1548,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1546,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1558,,
