"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","CPNCU","Current prices in NCU","2004","2004","CAD","Canadian Dollar","0","Units",,,44566,,
"CAN","Canada","CPNCU","Current prices in NCU","2005","2005","CAD","Canadian Dollar","0","Units",,,47250,,
"CAN","Canada","CPNCU","Current prices in NCU","2006","2006","CAD","Canadian Dollar","0","Units",,,49387,,
"CAN","Canada","CPNCU","Current prices in NCU","2007","2007","CAD","Canadian Dollar","0","Units",,,51387,,
"CAN","Canada","CPNCU","Current prices in NCU","2008","2008","CAD","Canadian Dollar","0","Units",,,53148,,
"CAN","Canada","CPNCU","Current prices in NCU","2009","2009","CAD","Canadian Dollar","0","Units",,,53824,,
"CAN","Canada","CPNCU","Current prices in NCU","2010","2010","CAD","Canadian Dollar","0","Units",,,54788,,
"CAN","Canada","CPNCU","Current prices in NCU","2011","2011","CAD","Canadian Dollar","0","Units",,,56809,,
"CAN","Canada","CPNCU","Current prices in NCU","2012","2012","CAD","Canadian Dollar","0","Units",,,58881,,
"CAN","Canada","CPNCU","Current prices in NCU","2013","2013","CAD","Canadian Dollar","0","Units",,,60821,,
"CAN","Canada","CPNCU","Current prices in NCU","2014","2014","CAD","Canadian Dollar","0","Units",,,62551,,
"CAN","Canada","CPNCU","Current prices in NCU","2015","2015","CAD","Canadian Dollar","0","Units",,,63430,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2000","2000","CZK","Czech Koruna","0","Units",,,169073,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2001","2001","CZK","Czech Koruna","0","Units",,,180647,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2002","2002","CZK","Czech Koruna","0","Units",,,197175,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2003","2003","CZK","Czech Koruna","0","Units",,,212263,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2004","2004","CZK","Czech Koruna","0","Units",,,229607,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2005","2005","CZK","Czech Koruna","0","Units",,,239065,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2006","2006","CZK","Czech Koruna","0","Units",,,253040,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2007","2007","CZK","Czech Koruna","0","Units",,,268236,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2008","2008","CZK","Czech Koruna","0","Units",,,281069,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2009","2009","CZK","Czech Koruna","0","Units",,,282879,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2010","2010","CZK","Czech Koruna","0","Units",,,290934,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2011","2011","CZK","Czech Koruna","0","Units",,,298388,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2012","2012","CZK","Czech Koruna","0","Units",,,304662,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2013","2013","CZK","Czech Koruna","0","Units",,,303882,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2014","2014","CZK","Czech Koruna","0","Units",,,307539,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2015","2015","CZK","Czech Koruna","0","Units",,,314199,,
"DNK","Denmark","CPNCU","Current prices in NCU","2000","2000","DKK","Danish Krone","0","Units",,,270971,,
"DNK","Denmark","CPNCU","Current prices in NCU","2001","2001","DKK","Danish Krone","0","Units",,,279422,,
"DNK","Denmark","CPNCU","Current prices in NCU","2002","2002","DKK","Danish Krone","0","Units",,,291130,,
"DNK","Denmark","CPNCU","Current prices in NCU","2003","2003","DKK","Danish Krone","0","Units",,,301969,,
"DNK","Denmark","CPNCU","Current prices in NCU","2004","2004","DKK","Danish Krone","0","Units",,,312556,,
"DNK","Denmark","CPNCU","Current prices in NCU","2005","2005","DKK","Danish Krone","0","Units",,,323380,,
"DNK","Denmark","CPNCU","Current prices in NCU","2006","2006","DKK","Danish Krone","0","Units",,,336330,,
"DNK","Denmark","CPNCU","Current prices in NCU","2007","2007","DKK","Danish Krone","0","Units",,,346242,,
"DNK","Denmark","CPNCU","Current prices in NCU","2008","2008","DKK","Danish Krone","0","Units",,,361205,,
"DNK","Denmark","CPNCU","Current prices in NCU","2009","2009","DKK","Danish Krone","0","Units",,,374624,,
"DNK","Denmark","CPNCU","Current prices in NCU","2010","2010","DKK","Danish Krone","0","Units",,,387992,,
"DNK","Denmark","CPNCU","Current prices in NCU","2011","2011","DKK","Danish Krone","0","Units",,,395202,,
"DNK","Denmark","CPNCU","Current prices in NCU","2012","2012","DKK","Danish Krone","0","Units",,,403673,,
"DNK","Denmark","CPNCU","Current prices in NCU","2013","2013","DKK","Danish Krone","0","Units",,,407512,,
"DNK","Denmark","CPNCU","Current prices in NCU","2014","2014","DKK","Danish Krone","0","Units",,,417647,,
"DNK","Denmark","CPNCU","Current prices in NCU","2015","2015","DKK","Danish Krone","0","Units",,,428396,,
"FIN","Finland","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,26493,,
"FIN","Finland","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,27490,,
"FIN","Finland","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,28100,,
"FIN","Finland","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,28925,,
"FIN","Finland","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,29989,,
"FIN","Finland","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,30994,,
"FIN","Finland","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,32131,,
"FIN","Finland","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,33241,,
"FIN","Finland","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,34689,,
